"apicd","apinm","doculink","docunm"
"15094448",충청북도_청소년 수련 및 이용시설 현황,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002483308&fileDetailSn=1,OpenAPI활용가이드_[충청북도_청소년 수련 및 이용시설 현황]_v1.0.docx
"15090339",한국수자원공사_상수도법정수질정보 조회 서비스,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002485296&fileDetailSn=1,국가상수도정보_기술문서_v1.2_(법정수질자료)-수정 (2).docx
"15094508",충청북도_사회적 기업현황 및 지원현황,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002483759&fileDetailSn=1,OpenAPI활용가이드_[충청북도_사회적 기업현황 및 지원현황]_v1.0.docx
"15094789",식품의약품안전처_진단시약 이상사례 제품 및 조치내역 정보,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002482050&fileDetailSn=1,IROS_391_진단시약이상사례제품및조치내역_v1.0-수정.docx
"15094314",문화재청 국립무형유산원_무형유산 기록화 정보 목록 조회 서비스,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002479392&fileDetailSn=1,"5. [참고]기술문서_무형유산 기록화 정보-수정.docx"
"15094800",식품의약품안전처_체외진단의료기기 보유업체 현황,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002482057&fileDetailSn=1,IROS_392_체외진단의료기기보유업체현황_v1.0-수정.docx
"15094316",문화재청 국립무형유산원_무형유산 기록영화(16mm) 정보 목록 조회 서비스,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002479399&fileDetailSn=1,"7. [참고]기술문서_기록영화(16mm) 정보-수정.docx"
"15094315",문화재청 국립무형유산원_무형유산 전승자 구술채록 정보 목록 조회 서비스,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002485307&fileDetailSn=1,"6. [참고]기술문서_전승자 구술채록 정보.docx"
"15094411",충청북도_장례시설 현황,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002483294&fileDetailSn=1,OpenAPI활용가이드_[충청북도_장례시설 현황]_v1.0.docx
"15094324",문화재청 국립무형유산원_소장 음원자료 정보 목록 조회 서비스,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002485299&fileDetailSn=1,"14. [참고]기술문서_음원자료 정보.docx"
"15094410",충청북도_일자리 우수기업 인증현황,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002483291&fileDetailSn=1,OpenAPI활용가이드_[충청북도_일자리 우수기업 인증현황]_v1.0.docx
"15094428",충청북도_전통시장 현황,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002483292&fileDetailSn=1,OpenAPI활용가이드_[충청북도_전통시장 현황]_v1.0.docx
"15094398",충청북도_음식물 쓰레기 발생 현황,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002483761&fileDetailSn=1,OpenAPI활용가이드_[충청북도_음식물쓰레기 발생현황]_v1.0.docx
