apicd,apiname,opercd,opername
15058079,기상청_낙뢰관측자료 조회서비스,23393,낙뢰정보조회
15058088,기상청_고층기상월보 조회서비스,23580,바람유의고도조회
15058167,기상청_위성영상 조회서비스,24630,천리안위성조회
15058466,기상청_방재기상월보 조회서비스,23540,일별방재기상관측자료조회
15058629,기상청_동네예보 통보문 조회서비스,23444,해상예보조회
15058804,기상청_항공기상전문 조회서비스,23411,TAF조회
15058845,기상청_지상기상연보 조회서비스,23536,우리나라에영향을미친태풍조회
15059060,기상청_레이더자료(경량화) 조회서비스,23437,레이더지점별QCD행정구역조회
15059087,기상청_서리발생 가능성 예측정보 조회서비스,23489,서리발생예측정보조회
15059093,"기상청_지상(종관, ASOS) 일자료 조회서비스",25248,기상관측일자료목록조회
15059094,기상청_해양기상월보 조회서비스,23569,일별(파고부이)기상자료조회
15059100,기상청_세계공항 항공기상전문 조회서비스,23407,METAR/SPECI조회
15059244,기상청_위성자료(경량화) 조회서비스,23428,천리안위성2A호수증기행정구역조회
15059455,기상청_항공기상전문(IWXXMVer.2.0) 조회서비스,23406,AIRMET 조회
15059466,기상청_방재기상연보 조회서비스,23544,지점별월요약자료조회
15059468,기상청_중기예보 조회서비스,23448,중기해상예보조회
15059518,기상청_작물별 농업주산지 상세날씨 조회서비스,23483,주산지특보현황조회
15043550,기상청_해양기상관측자료 조회서비스,24896,파고부이조회
15043562,기상청_일기도 조회서비스,23582,보조일기도조회
15043603,기상청_고층기상관측자료 조회서비스,24909,수직측풍관측자료조회
15057084,"기상청_지상(방재, AWS)기상관측자료 조회서비스",24913,AWS관측자료(1분)조회
15058846,"기상청_지점정보(기상관측, 특보구역) 조회서비스",24900,파고부이관측지점정보조회
15059218,"기상청_지상(종관, ASOS)기상관측자료 조회서비스",24886,적설조회
15059235,기상청_황사정보 조회서비스,24893,황사위성영상조회
15077314,기상청_위성자료 경량화 조회서비스(기상산출물),29965,천리안위성2A호 구름탐지 한반도조회
15050736,문화체육관광부 한국정책방송원_KTV 영상정보 조회서비스,14765,영상정보목록조회
15050741,문화체육관광부 한국정책방송원_E영상역사관 정보조회서비스,18154,대한뉴스관 목록조회
15000057,문화체육관광부 국립민속박물관_지도로보는한국민속대백과사전서비스,1989,지도로보는세시풍속사전정보조회
3036708,문화체육관광부 국립중앙박물관_전국 박물관 유물정보,17667,코드 목록 조회
15059674,문화체육관광부 국립한글박물관_채용정보 조회 API 서비스,25724,채용정보 목록 조회
3062269,문화체육관광부 국립국악원_국악자료정보,22630,아이템 목록 조회
15062540,문화체육관광부 한국예술종합학교_채용정보 조회,25528,한국예술종합학교 채용목록 조회
15000188,문화체육관광부 국립민속박물관_한국세시풍속사전영문서비스,1973,한국세시풍속사전월별목록조회영문
15000289,문화체육관광부 국립민속박물관_한국민속대백과사전멀티미디어서비스,1986,한국민속대백과사전사진목록조회
15000294,문화체육관광부 국립민속박물관_한국세시풍속사전서비스,1965,한국세시풍속사전월별목록조회
15000432,문화체육관광부 국립민속박물관_한국민속신앙사전서비스,1978,한국민속신앙사전무속신앙목록조회
15043119,문화체육관광부 한국정책방송원_게시글 서비스 정보,24118,보도자료 목록조회
15078202,여성가족부_전국다문화가족실태조사 마이크로데이터 정보 서비스,31447,데이터 목록 조회
15078208,여성가족부_양성평등실태조사 마이크로데이터 정보 서비스,31442,코드 그룹 목록 조회
15078177,여성가족부_가족실태조사 마이크로데이터 정보 서비스,31466,항목 조회
15078192,여성가족부_경력단절여성등의경제활동실태조사 마이크로데이터 정보 서비스,31437,대상 정보 목록 조회
15078204,여성가족부_국민 다문화수용성실태조사 마이크로데이터 정보 서비스,31452,코드 정보 조회
15078187,여성가족부_결혼중개업실태조사 마이크로데이터 정보 서비스,31432,코드 그룹 정보 목록 조회
15078216,여성가족부_양성평등 실태조사 통계 데이터 정보 서비스,31429,통계표 조회
15078160,여성가족부_여성새로일하기센터 정보 서비스,31355,여성새로일하기센터 조회
15078158,여성가족부_아이돌보미 현황 연령대별 정보 서비스,31339,아이돌보미 현황 연령대별 조회
15078086,여성가족부_아이돌봄 월별가정실적현황 정보 서비스,31354,아이돌봄 월별 가정실적 내역 조회
15078131,여성가족부_아이돌보미 교육과정 정보 서비스,31301,아이돌보미 교육과정 조회
15078218,여성가족부_전국다문화가족실태조사 통계 데이터 정보 서비스,31414,통계년도 조회
15078135,여성가족부_아이돌봄 서비스제공기관 지정기준 정보 서비스,31310,아이돌봄 서비스제공기관 지정기준 조회
15078141,여성가족부_아이돌봄 건강보험료산정기준표 정보 서비스,30450,아이돌봄 건강보험료산정기준표 조회
15078173,여성가족부_성별영향평가 교육실적 정보 서비스,30477,성별영향평가 교육실적 조회
15079827,여성가족부_아이돌봄 월별아동실적현황 정보 서비스,31419,아이돌봄 월별아동실적현황 조회
15078220,여성가족부_여성사전시관 구술자료 정보 서비스,31417,여성사전시관 구술자료 정보 조회
15078127,여성가족부_아이돌보미 교육기관 정보 서비스,31215,아이돌보미 교육기관 조회
15078124,여성가족부_아이돌봄 누적가정실적현황 정보 서비스,31297,아이돌봄 누적가정실적현황 조회
15078179,여성가족부_국민 다문화수용성 조사 통계 데이터 정보 서비스,31406,통계년도 조회
15078219,여성가족부_여성사전시관 여성독립운동가 정보 서비스,31413,여성사전시관 여성독립운동가 조회
15078136,여성가족부_아이돌봄 신청처리단계 정보 서비스,31029,아이돌 봄신청처리단계 조회
15078125,여성가족부_아이돌봄 회원현황 정보 서비스,30439,아이돌봄 회원현황 정보 서비스
15078145,여성가족부_아이돌보미 면접 평가 표준 항목 실적 정보 서비스,30454,아이돌보미 면접 평가 표준 항목 조회
15078112,여성가족부_아이돌봄 회원현황-서비스소득기준별 정보 서비스,31353,아이돌봄 회원현황 서비스 소득기준별 조회
15078113,여성가족부_여성사전시관 소장품 정보,30410,여성사전시관 소장품 정보 조회
15078117,여성가족부_여성사전시관 영상물 정보 서비스,30412,여성사전시관 영상물 정보 서비스
15078118,여성가족부_여성사전시관 인물연구 정보 서비스,30413,여성사전시관 인물연구 정보 조회
15078161,여성가족부_직업교육훈련 안내 정보 서비스,30467,직업교육훈련 안내정보 조회
15078106,여성가족부_아이돌봄 월별신청현황 정보 서비스,30404,아이돌봄 월별신청현황 조회
15078146,여성가족부_아이돌보미 교육기관 지정 기준 정보 서비스,30455,아이돌보미 교육기관 지정 기준 조회
15078144,여성가족부_아이돌보미 보수교육 과정 정보 서비스,30452,아이돌보미 보수교육 과정 정보 조회
15078132,여성가족부_아이돌봄 광역거점기관 정보 서비스,30445,아이돌봄 광역거점기관 조회
15078134,여성가족부_아이돌봄 서비스이용요금표 정보 서비스,30446,아이돌봄서비스이용요금표 조회
15078130,여성가족부_아이돌봄 서비스제공기관 정보 서비스,30443,아이돌봄 서비스제공기관 조회
15078123,여성가족부_아이돌봄 누적아동실적현황 연령별 정보 서비스,30436,아이돌봄 누적아동실적현황 연령별 조회
15078120,여성가족부_아이돌봄 누적아동실적현황 정보 서비스,30425,아이돌봄 누적아동실적현황 조회
15078149,여성가족부_아이돌봄정부지원 자격여부 입증서류 및 확인방법 정보 서비스,31030,아이돌봄정부지원 자격여부 입증서류 및 확인방법 조회
15078147,여성가족부_아이돌보미 모집 공고문 정보 서비스,30456,아이돌보미 모집 공고문 조회
15078151,여성가족부_아이돌봄 통합업무관리시스템 정보 서비스,30459,아이돌봄통합업무관리시스템정보 조회
15078157,여성가족부_아이돌보미 현황 성별 정보 서비스,30464,아이돌보미 현황 성별 조회
15078109,여성가족부_아이돌봄 월별신청현황-연령대별 정보 서비스,30406,아이돌봄 월별신청현황 연령대별 조회
15078108,여성가족부_아이돌봄 월별신청현황-시간대별 정보 서비스,30405,아이돌봄 월별신청현황 시간대별 조회
15078162,여성가족부_폭력예방교육콘텐츠 목록 정보 서비스,30468,폭력예방교육콘텐츠 목록 조회
15078169,여성가족부_폭력예방교육추진상세 실적 정보 서비스,30473,폭력예방교육 추진상세 실적 조회
15078155,여성가족부_아이돌보미 현황 서비스별 정보 서비스,30462,아이돌보미 현황 서비스별 조회
15078122,여성가족부_아이돌봄 누적아동실적현황-서비스시간대별 정보 서비스,31298,아이돌봄 누적아동실적현황 서비스시간대별 조회
15078163,여성가족부_기관유형별 성희롱방지조치추진 실적 정보 서비스,30469,기관유형별 성희롱방지조치추진 실적 조회
15078164,여성가족부_기관유형별 폭력예방교육실시 실적 정보서비스,30470,기관유형별 폭력예방교육실시 실적 조회
15078153,여성가족부_아이돌보미 현황 정보 서비스,30461,아이돌보미 현황 조회
15078140,여성가족부_아이돌봄 대기가점기준 정보 서비스,31299,아이돌봄 대기가점기준 정보 조회
15078110,여성가족부_아이돌봄 누적아동실적현황-연령소득기준별 정보 서비스,31309,아이돌봄 누적아동실적현황 연령소득기준별 조회
15078142,여성가족부_아이돌봄 가구원수별소득기준 정보 서비스,31300,아이돌봄 가구원수별소득기준 조회
15078172,여성가족부_성별영향평가책임관 지정 현황 정보 서비스,31308,성별영향평가책임관 지정 현황 조회
15078111,여성가족부_아이돌봄 누적가정실적현황-가정유형소득기준별 정보 서비스,31331,아이돌봄 누적가정실적현황 가정유형소득기준별 조회
15078171,여성가족부_청소년성문화센터 정보 서비스,31335,청소년성문화센터 조회
15078170,여성가족부_폭력예방교육 및 성희롱방지조치 우수기관정보 서비스,30474,폭력예방교육 및 성희롱방지조치 우수기관 조회
15078152,여성가족부_아이돌보미 교육양성현황 정보 서비스,31332,아이돌보미 교육양성현황 조회
15078114,여성가족부_여성사전시관 도서 정보 서비스,31337,여성사전시관 도서 정보 조회
15078167,여성가족부_기관유형별 폭력예방교육 종사자참여 실적 정보 서비스,31334,기관유형별 폭력예방교육 종사자참여 실적 조회
15079828,여성가족부_아이돌봄 월별신청현황-연령소득기준별 정보서비스,31418,아이돌봄 월별신청현황 연령소득기준별 조회
15073960,여성가족부_청소년 국제교류프로그램 정보 서비스,27760,청소년국제교류활동프로그램 검색
15073963,여성가족부_청소년 활동정보 방학 중 프로그램 서비스,27758,청소년활동 방학 중 프로그램 목록 검색
15073958,여성가족부_청소년 활동정보 공지사항 서비스,27735,청소년활동 공지사항 목록 검색
15069276,여성가족부_청소년 활동정보 인증프로그램 서비스,29465,청소년활동 인증프로그램 목록 검색
15067705,여성가족부_청소년 활동정보 공공기관 프로그램 서비스,26596,청소년활동 공공기관 프로그램 상세정보 검색
15074504,여성가족부_청소년 활동정보 운영기관 서비스,28059,청소년활동 운영기관 목록 검색
15074502,여성가족부_청소년 활동정보 신고 프로그램 서비스,28056,청소년활동 신고프로그램 목록 검색
15061570,여성가족부_청소년 자원봉사 프로그램 서비스 정보,25238,청소년활동 자원봉사프로그램 목록 검색
