FILE_000000002436929,광주광역시_다가치그린서비스 포인트정책_20210913.csv
FILE_000000002451878,일자리 (1993.01.01-1993.12.31).csv
FILE_000000002444035,6. 통계청_MDIS_연구정보.csv
FILE_000000002451199,서울특별시_강서구_행정동별_연간_쓰레기배출량.csv
FILE_000000002374269,시간별강우랑(FL_TIMERAIN).zip
FILE_000000002444905,전라남도 고흥군_안경업.csv
FILE_000000002432260,외교부_글로벌에너지협력센터_발간저널_20210903.csv
FILE_000000002438842,인천광역시 미추홀구_정신건강의학과현황_20210915.csv
FILE_000000002430590,KLRI_뉴스.csv
FILE_000000002434022,제주특별자치도_상하수도요금산정기준정보_20210905.csv
FILE_000000002450140,인천광역시 남동구_출산입양장려금 지원 현황_20210930.csv
FILE_000000002433853,인천광역시 남동구_지역사회서비스투자사업 제공기관 현황_20210908.csv
FILE_000000002448986,tn_lms_course_admin.csv
FILE_000000002442807,국토정보기본도_필지_전주시.csv
FILE_000000002450166,경상남도 농업관련 도서DB_20210927.csv
FILE_000000002438279,마곡 상업, 업무, 산업시설, 지원시설용지 토지이용계획.csv
FILE_000000002439968,한국전통문화대학교 학술정보관 소장목록(21.8.17).csv
FILE_000000002424423,전라남도 담양군_한국가사문학DB(미디어) 목록정보_20210823.zip
FILE_000000002436839,인천광역시 부평구_출입기자 현황_20210701.csv
FILE_000000002446065,산악사고_2020년.csv
FILE_000000001568754,여성가족부_일본군'위안부'피해자현황_2019.4.zip
FILE_000000002439525,인천광역시_서구_식용란수집판매업_20210916.csv
FILE_000000002441344,해군사관학교 입학통계.csv
FILE_000000002448613,인천광역시_서구_출산장려금 지원실적_20210907.csv
FILE_000000002438776,마곡 기타시설용지 토지이용계획.csv
FILE_000000002441981,경상남도_합천군_지방세 체납현황_20210923.csv
FILE_000000002442571,충청북도 단양군_지적통합관리시스템_문서종류.csv
FILE_000000002449538,인천광역시_서구_폐기물중간처분 업체 현황_20210915.csv
