"APICD","APINM","ORGANNM","DATAFORMMAT","DOCXNAME","APITYPE","DETAILPK"
"15042597",국립암센터_난소암_라이브러리_집계정보,국립암센터,JSON+XML,국립암센터_난소암_집계정보_조회서비스_오픈API활용가이드.docx,REST,uddi:f30b4b58-e063-4547-99cb-c2586e8bd9de
"15084084",기상청_단기예보 조회서비스,기상청,JSON+XML,기상청41_단기예보 조회서비스_오픈API활용가이드_최종.zip,REST,uddi:18140ef2-28cf-4bc0-968a-9712b098fd45_202106281627
"15000415",기상청_기상특보 조회서비스,기상청,JSON+XML,기상청21_기상특보 조회서비스_오픈API활용가이드.zip,REST,uddi:2a8fc85e-a5b7-4ebf-8865-a55ecdc105a1
"15058629",기상청_동네예보 통보문 조회서비스,기상청,JSON+XML,기상청19_동네예보 통보문 조회서비스_오픈API활용가이드.zip,REST,uddi:b0872d40-4c83-4d7c-bdff-f2feeb38b56e
"15059466",기상청_방재기상연보 조회서비스,기상청,JSON+XML,기상청35_방재기상연보_조회서비스_오픈API활용가이드.docx,REST,uddi:f863ea0a-a31b-4305-8d6c-f9e0f0e79056
"15058846","기상청_지점정보(기상관측, 특보구역) 조회서비스",기상청,JSON+XML,"기상청30_지점정보(기상관측, 특보구역) 조회서비스_오픈API활용가이드(210715).docx",REST,uddi:c4b98869-3a61-4f7f-9cd5-8ac425cd1216_202006111523
"15012350",산림청 국립수목원_국가표준곤충목록서비스,산림청 국립수목원,XML,OpenAPI활용가이드_국립수목원_국가표준곤충목록서비스_v2.3.docx,REST,uddi:a599e5a2-bb58-44d7-9269-d572a99fcb5f_202009140806
"15073246",(재)중소기업연구원_중소기업연구원 중소기업정책연구정보,(재)중소기업연구원,JSON,중소기업연구원 오픈API 활용가이드.docx,REST,uddi:8c118e6d-1585-47c6-ab09-8894a5e778b9_202109031625
"15064538",주식회사공영홈쇼핑_공영쇼핑 편성정보 이벤트정보,주식회사공영홈쇼핑,JSON,OpenAPI활용가이드_공영쇼핑_v1.0_최종.docx,REST,uddi:a93cfad4-3daa-48d7-b927-f6e9ba9b8b53_202009151021
"15001174",창업진흥원_창업넷 콘텐츠,창업진흥원,XML,OpenAPI활용가이드_창업진흥원[통합본]_181130.docx,REST,uddi:5192e26b-29c5-47f1-bd33-f532199fac93_202012171636
"15043133",창업진흥원_창업공간 플랫폼,창업진흥원,XML,[최종검토완료]기술문서양식_창업공간이룸.docx,REST,uddi:b6d24060-1874-4b15-a370-8d4642f09126
"15002124",특허청_KIPRISPlus_심판사항(심결문),특허청,XML,IROS4_OA_DV_0401_OpenAPI활용가이드_07.특허청(산업재산권정보)_v5.0.docx,REST,uddi:a9ad1f93-2d7c-4634-aacd-f38c2eef8790_201412041907
"15074458","한국에너지공단_상업부문-총에너지사용량(고유,열량,온실가스배출량) 통계 조회서비스",한국에너지공단,JSON+XML,"OpenAPI활용가이드_한국에너지공단_17_상업부문-총에너지사용량(고유,열량,온실가스배출량).zip",REST,uddi:9769d296-1fba-474c-a75f-fd7308cb5ad2
"15072207",한국가스공사_계약정보,한국가스공사,XML,기술문서양식_한국가스공사_계약정보_20210608.docx,REST,uddi:3b429218-df47-4748-b2af-bdefe7eb3a6b_202106170920
"15074467",한국에너지공단_분석보고서 결과분석통계 현황 서비스,한국에너지공단,JSON+XML,OpenAPI활용가이드_한국에너지공단_24_분석보고서 결과분석통계 현황.zip,REST,uddi:94c4093b-9589-405d-b72b-a966cb6b2663_202012101437
"15074453",한국에너지공단_수송부문-승용차의운행현황-차량사용 용도별 통계 조회서비스,한국에너지공단,JSON+XML,OpenAPI활용가이드_한국에너지공단_12_수송부문-승용차의운행현황-차량사용 용도별.zip,REST,uddi:a8835723-6d1d-4848-b5da-903a03d53677_202012101429
"15074465",한국에너지공단_업종별 CO2 배출량 현황 마이크로 데이터 서비스,한국에너지공단,JSON+XML,OpenAPI활용가이드_한국에너지공단_22_업종별 CO2 배출량 현황 마이크로 데이터.zip,REST,uddi:adecd5f2-5a33-4241-8ef5-e0fc3670764b_202102181725
"3076075",한국서부발전(주)_발전실적정보,한국서부발전(주),XML,"8.한국서부발전_발전실적기술문서_201609.doc",REST,uddi:12c52985-3053-4da9-83dd-b48aa8800434
"15001078",한국수력원자력(주)_원자력발전소 실시간 발전현황,한국수력원자력(주),XML,API_가이드_원자력발전소 실시간발전현황_20210222.docx,REST,uddi:32d72172-df91-46da-a375-cc3bcd2e6000_202102221119
"15001809",산업통상자원부_거래물품정보서비스,산업통상자원부,XML,IROS4_OA_DV_0401_OpenAPI활용가이드_무역정보(거래물품정보서비스)_v1.5.docx,REST,uddi:a4815d6d-c2b6-4769-bce9-a5f498b2af64_201701051008
"15004210",한국원자력환경공단_환경방사선량 데이터_정보,한국원자력환경공단,JSON+XML,OpenAPI활용가이드_KP_010_한국원자력환경공단_환경감시설비정보_환경방사선량_191113.docx,REST,uddi:8dba3430-d3f1-4ba9-9c9f-bf69a9d26172
"15007635",한국남부발전(주)_중소기업지원사업 정보,한국남부발전(주),XML,활용가이드_중소기업지원사업_공고정보조회서비스V1.1.doc,REST,uddi:cdbbfdce-d1da-4830-b41a-e41541172374
"15040827",한국전력공사_전국 사업소 연락처 서비스,한국전력공사,XML,(OpenAPI) 한국전력공사-전국사업소연락처서비스.docx,REST,uddi:ec7a5bfd-6ddd-4cc1-b925-d524d952d387
"15060822",대한석탄공사_국내 무연탄 수급현황,대한석탄공사,XML,대한석탄공사_국내_무연탄_수급현황.docx,REST,uddi:2b9b04f0-d897-4900-b0b4-884907f68b91_202006260957
"15060831",대한석탄공사_무연탄 수입현황,대한석탄공사,XML,대한석탄공사_무연탄 수입현황.docx,REST,uddi:fff50649-0b9c-47fb-8458-cd26ec015c73_202006261006
"15003597",한국남부발전(주)_통합기자재 유자격품목 정보,한국남부발전(주),XML,활용가이드_기자재유자격품목조회서비스V1.1.doc,REST,uddi:66217769-0d51-448b-b1dd-b91248a580b0
"15054784",한국서부발전(주)_연료소비실적 조회서비스,한국서부발전(주),XML,"17.한국서부발전_연료소비실적기술문서_201609.doc",REST,uddi:f398dd8e-9e49-4f49-bc64-a59fbbf178b3
"15056557",한국남부발전(주)_기상현황 급전속보 조회 서비스,한국남부발전(주),XML,활용가이드_기상현황_급전속보조회서비스V1.1.doc,REST,uddi:05a1d12c-d39c-449f-878f-dbbf5de51b4e
"15056583",한국수력원자력(주)_수력발전소 발전 현황,한국수력원자력(주),XML,API_활용가이드_수력발전소 발전 현황_20210218.docx,REST,uddi:079fe15a-3fd0-4b69-966c-9c8981529c85_202102181348
"15056964",한국수력원자력(주)_수력발전소 수문자료 현황,한국수력원자력(주),XML,API_가이드_수력발전소 수문자료 현황_20210222.docx,REST,uddi:25cad2ad-c35a-4027-a4da-ca253ba1b4c8_202102221124
"15056967",한국남부발전(주)_발전실적 급전속보 조회 서비스,한국남부발전(주),XML,활용가이드_발전실적_급전속보조회서비스V1.1.doc,REST,uddi:267403b7-a4ea-484f-8e2d-b065b56b02af
"15057873",한국남부발전(주)_발전실적 조회,한국남부발전(주),XML,활용가이드_발전실적서비스V1.0.doc,REST,uddi:72c4c1b6-f97a-4232-9588-b3dd122abbe3
"15058346",한국남부발전(주)_발전소주변대기정보,한국남부발전(주),XML,활용가이드_발전소_주변_대기_종합정보조회서비스V1.1.doc,REST,uddi:98fc5c4e-770c-48cd-99d8-82ab740f5745
"15059335",한국남부발전(주)_발전회사별 점유율 급전속보 조회 서비스,한국남부발전(주),XML,활용가이드_발전회사별_점유율_급전속보조회서비스V1.1.doc,REST,uddi:ecaff795-5b17-4265-b2d3-942f320d7920
"15059384",한국산업기술진흥원_기술은행 기술정보 DB 서비스,한국산업기술진흥원,XML,한국산업기술진흥원 기술은행 기술정보 DB서비스_v2.6.docx,REST,uddi:f17259dc-9b28-455e-b951-a530c0d5be79
"15076302",한국전력거래소_계통한계가격조회,한국전력거래소,XML,전력거래소 OpenAPI 활용자가이드(ver1.3).hwp,REST,uddi:e924f31c-388e-4f03-84eb-a2c7c455f94f
"15076759",국립암센터_대장암 라이브러리 면역병리 HMLH1검사결과,국립암센터,JSON+XML,국립암센터_대장암_집계정보_조회서비스_오픈API활용가이드_(20)면역병리_HMLH1검사결과.docx,REST,uddi:0977164a-1ad5-4e89-908b-a060e67e7af7_202102041440
"15077043",국립암센터_폐암 라이브러리 환자 현재 흡연 여부,국립암센터,JSON+XML,국립암센터_폐암_집계정보_조회서비스_오픈API활용가이드_(5)환자_현재_흡연_여부.docx,REST,uddi:15b805a8-7836-49c8-bf0e-bb52907de30b
"15077051",국립암센터_폐암 라이브러리 환자 결핵 병력 여부,국립암센터,JSON+XML,국립암센터_폐암_집계정보_조회서비스_오픈API활용가이드_(9)환자_결핵_병력_여부.docx,REST,uddi:e82f931e-d0b3-4669-9864-ead42aeead7f
"15025430",외교부_특별여행 경보제도,외교부,XML,기술문서_특별여행경보제도서비스_v1.6.docx,REST,uddi:9df67193-623b-4503-b699-e9b104d6e828
"3066194",병무청_여비산정표,병무청,XML,_MMA_OPENAPI_0003+여비산정표_v1.0.docx,REST,uddi:edae42f0-8138-45e0-b41c-e396d47cc7bf
"3062269",문화체육관광부 국립국악원_국악자료정보,문화체육관광부 국립국악원,XML,국립_국악원_아이템_OpenAPI_v2.1.docx,REST,uddi:ebbdd6f2-b904-4463-9027-c4d00a3833af_201909091645
"3070433",한국지역난방공사 전기판매량 정보,한국지역난방공사,XML,오픈API_인터페이스_정의서_KDHC_전기판매량_v1.1.doc,REST,uddi:ca2ada54-e66c-4538-a0b7-b12bac00e9a0_201608111550
"15073619",한국수력원자력(주)_원전 건설 공정률 현황,한국수력원자력(주),XML,API_가이드_원전 건설 공정률 현황_20210222.docx,REST,uddi:e489d9ec-c07c-4640-935e-d1564212a574_202102221333
"15073620",한국수력원자력(주)_원전 건설 주요사업현황,한국수력원자력(주),XML,API_가이드_원전 건설 주요사업현황_20210222.docx,REST,uddi:7f437afc-d364-4697-bbd0-b0c0d7f2e67f_202102221352
"15074432",한국에너지공단_용도별 세분화 통계 조회서비스,한국에너지공단,JSON+XML,OpenAPI활용가이드_한국에너지공단_05_용도별 세분화 통계.zip,REST,uddi:14ad7185-cfe7-412c-a225-ea2016ef6380
"15074439",한국에너지공단_공정별 세분화 통계 조회서비스,한국에너지공단,JSON+XML,OpenAPI활용가이드_한국에너지공단_07_공정별 세분화 통계.zip,REST,uddi:8e145262-ceac-4250-a4b8-d7be36c50a1b
"15067878",식품의약품안전처 식품의약품안전평가원_식품의약품안전처 연구관리 협약/계약 환경 조회 서비스,식품의약품안전처 식품의약품안전평가원,XML,IROS_172_식품의약품안전처 연구관리 협약계약 환경 조회 서비스_v1.0.docx,REST,uddi:0221fd79-da17-4c8b-aeb0-f94526b4e663_202010051702
"15057899",식품의약품안전처_의약품 생산수입공급중단정보,식품의약품안전처,JSON+XML,IROS_73_의약품생산수입공급중단 서비스_v1.0.docx,REST,uddi:74a817b8-8f74-4d3c-9148-c5f8f93b4d2a
"15057931",식품의약품안전처_FDA 오렌지북 특허정보,식품의약품안전처,JSON+XML,IROS_30_FDA 오렌지북 특허정보 서비스_v1.0 .docx,REST,uddi:77aafea3-afa2-45f3-a8cc-defa776dbb3f
"15058303",식품의약품안전처_HACCP 지정현황,식품의약품안전처,JSON+XML,IROS_46_HACCP 지정현황 서비스_v1.0.docx,REST,uddi:954c38d4-b0eb-4299-bcfe-ad765f3caf81
"15058360",식품의약품안전처_건강기능식품 대상별 정보,식품의약품안전처,JSON+XML,IROS_62_건강기능식품 대상별 정보(DB) 서비스_v1.0.docx,REST,uddi:9a60503c-b31c-4879-9028-a4250f0f6998
"15058457",식품의약품안전처_의약품 행정처분 정보,식품의약품안전처,XML,IROS_50_의약품행정처분서비스_v1.2.docx,REST,uddi:a195c07c-99d2-4ad5-aa1d-de3a5b3d9301_202010261317
"15058806",식품의약품안전처_대조약조회,식품의약품안전처,XML,IROS_80_대조약조회_서비스_v1.2.docx,REST,uddi:c0522a36-626c-4371-a113-915084b79927_202004271517
"15084136",식품의약품안전처_인체조직기증통계정보,식품의약품안전처,JSON+XML,IROS_291_인체조직기증통계 서비스_v1.0_20210628_수정.doc,REST,uddi:1e67abcb-8d7e-4f1e-90e5-aa88c7144717_202107011123
"15073868",식품의약품안전처_의료기기 표준코드별 제조수입업자 정보,식품의약품안전처,JSON+XML,IROS_253_의료기기 표준코드별제조수입업자정보서비스_v1.0.doc,REST,uddi:49bd1ef5-89d2-4ae2-b1ee-982032dc9d7d_202012101015
"15073863",식품의약품안전처_의료기기 표준코드별 통합정보,식품의약품안전처,JSON+XML,IROS_254_의료기기 표준코드별통합정보서비스_v1.0.doc,REST,uddi:fd9c5e73-67d6-48ea-a8f1-b9c0ef1e32e0_202012101022
"15073871",식품의약품안전처_의료기기 사전광고품목,식품의약품안전처,JSON+XML,IROS_270_의료기기 사전광고품목서비스_v1.0.doc,REST,uddi:8a5cca9a-3215-4a58-ab7f-df394b53e99c_202012021402
"15068280",식품의약품안전처 식품의약품안전평가원_식품의약품안전처 연구관리 전문기술분야코드 조회 서비스,식품의약품안전처 식품의약품안전평가원,XML,IROS_178_식품의약품안전처 연구관리 기관 조회 서비스_v1.0.docx,REST,uddi:c8b0737b-fb51-4e4b-ab94-b22363369a36_202010051640
"15068289",식품의약품안전처 식품의약품안전평가원_식품의약품안전처 연구관리 시설 장비 조회 서비스,식품의약품안전처 식품의약품안전평가원,XML,IROS_182_식품의약품안전처 연구관리 시설 장비 조회 서비스_v1.0.docx,REST,uddi:7d94dc53-c44f-40a5-909a-f9f9b25b4961_202010051613
"15068690",식품의약품안전처 식품의약품안전평가원_식품의약품안전처 연구관리 연구 보고서 요약 조회 서비스,식품의약품안전처 식품의약품안전평가원,XML,IROS_232_식품의약품안전처 연구관리 연구 보고서 요약 조회 서비스_v1.0.docx,REST,uddi:367d77f7-7f2e-4d85-9ef1-d3f1e790b55a_202010051351
"15068723",식품의약품안전처 식품의약품안전평가원_식품의약품안전처 연구관리 위탁 정산기관 조회 서비스,식품의약품안전처 식품의약품안전평가원,XML,IROS_224_식품의약품안전처 연구관리 위탁 정산기관 조회 서비스_v1.0.docx,REST,uddi:9f7c298a-76dd-42e9-b5cd-fc4015979d87_202010051319
"15073873",식품의약품안전처_의료기기 광고제작사별 심의내역,식품의약품안전처,JSON+XML,IROS_271_의료기기광고제작사별심의내역서비스_v1.0.doc,REST,uddi:7658772f-a007-400e-b113-def6e08b1481_202012011611
"15073914",식품의약품안전처_의료기기 GMP 대체교부 기본정보,식품의약품안전처,JSON+XML,IROS_265_의료기기GMP대체교부기본정보서비스_v1.0.doc,REST,uddi:04cb0967-ef90-4e4b-be85-c271df874ad7_202012011512
"15073972",식품의약품안전처_수입식품 해외제조업소중단정보,식품의약품안전처,JSON+XML,IROS_312_수입식품 해외제조업소중단정보서비스_v1.0.doc,REST,uddi:4682ab75-8007-4919-bb7a-df11a084d4bc_202012021353
