apicd,apinm,doculink,docunm
15077109,국립암센터_대장암 라이브러리 합병증진단합병증 종류별,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002370943&fileDetailSn=1,국립암센터_대장암_집계정보_조회서비스_오픈API활용가이드_(14)합병증진단합병증_종류별.docx
15031295,병무청_모집병 군지원 접수현황,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000001471914&fileDetailSn=0,MMA_OPENAIP_0019 병무청_모집병 군지원 접수현황_v2.0.docx
3066488,병무청_군사특기마스타,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000001351268&fileDetailSn=0,_MMA_OPENAPI_0004+군사특기마스타_v1.0.docx
15042597,국립암센터_난소암_라이브러리_집계정보,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000001603519&fileDetailSn=0,국립암센터_난소암_집계정보_조회서비스_오픈API활용가이드.docx
15000415,기상청_기상특보 조회서비스,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002418465&fileDetailSn=1,기상청21_기상특보 조회서비스_오픈API활용가이드.zip
15058629,기상청_동네예보 통보문 조회서비스,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002423955&fileDetailSn=1,기상청19_동네예보 통보문 조회서비스_오픈API활용가이드.zip
15058846,"기상청_지점정보(기상관측, 특보구역) 조회서비스",https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002418466&fileDetailSn=1,"기상청30_지점정보(기상관측, 특보구역) 조회서비스_오픈API활용가이드(210715).docx"
15012350,산림청 국립수목원_국가표준곤충목록서비스,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002477615&fileDetailSn=1,OpenAPI활용가이드_국립수목원_국가표준곤충목록서비스_v2.3.docx
15073246,(재)중소기업연구원_중소기업연구원 중소기업정책연구정보,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002435563&fileDetailSn=1,중소기업연구원 오픈API 활용가이드.docx
15064538,주식회사공영홈쇼핑_공영쇼핑 편성정보 이벤트정보,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002290407&fileDetailSn=1,OpenAPI활용가이드_공영쇼핑_v1.0_최종.docx
15001174,창업진흥원_창업넷 콘텐츠,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000001492675&fileDetailSn=0,OpenAPI활용가이드_창업진흥원[통합본]_181130.docx
15043133,창업진흥원_창업공간 플랫폼,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000001614659&fileDetailSn=0,[최종검토완료]기술문서양식_창업공간이룸.docx
15074458,"한국에너지공단_상업부문-총에너지사용량(고유,열량,온실가스배출량) 통계 조회서비스",https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002349190&fileDetailSn=1,"OpenAPI활용가이드_한국에너지공단_17_상업부문-총에너지사용량(고유,열량,온실가스배출량).zip"
15074467,한국에너지공단_분석보고서 결과분석통계 현황 서비스,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002349208&fileDetailSn=1,OpenAPI활용가이드_한국에너지공단_24_분석보고서 결과분석통계 현황.zip
15074453,한국에너지공단_수송부문-승용차의운행현황-차량사용 용도별 통계 조회서비스,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002349142&fileDetailSn=1,OpenAPI활용가이드_한국에너지공단_12_수송부문-승용차의운행현황-차량사용 용도별.zip
15074465,한국에너지공단_업종별 CO2 배출량 현황 마이크로 데이터 서비스,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002361625&fileDetailSn=1,OpenAPI활용가이드_한국에너지공단_22_업종별 CO2 배출량 현황 마이크로 데이터.zip
3076075,한국서부발전(주)_발전실적정보,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000001349503&fileDetailSn=0,8.한국서부발전_발전실적기술문서_201609.doc
15001078,한국수력원자력(주)_원자력발전소 실시간 발전현황,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000002367573&fileDetailSn=1,API_가이드_원자력발전소 실시간발전현황_20210222.docx
15001809,산업통상자원부_거래물품정보서비스,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000001492316&fileDetailSn=0,IROS4_OA_DV_0401_OpenAPI활용가이드_무역정보(거래물품정보서비스)_v1.5.docx
15004210,한국원자력환경공단_환경방사선량 데이터_정보,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000001590048&fileDetailSn=0,OpenAPI활용가이드_KP_010_한국원자력환경공단_환경감시설비정보_환경방사선량_191113.docx
15040827,한국전력공사_전국 사업소 연락처 서비스,https://www.data.go.kr/cmm/cmm/fileDownload.do?atchFileId=FILE_000000001588692&fileDetailSn=0,(OpenAPI) 한국전력공사-전국사업소연락처서비스.docx
