id,organ,col
F100022366,서울특별시 서대문구,23
F100022367,서울특별시 서대문구,19
F100021286,서울특별시 성동구,6
F100022368,서울특별시 서대문구,51
F100022369,서울특별시 서대문구,51
F100036346,경기도 의정부시,26
F100056693,제주특별자치도,9
F100042169,충청북도 진천군,27
F100025259,부산광역시 기장군,6
F100025247,부산광역시 기장군,6
F100025395,부산광역시 기장군,6
F100025270,부산광역시 기장군,6
F100028037,인천광역시 서구,16
F100047038,전라북도 전주시,7
F100055413,제주특별자치도,6
F100055561,제주특별자치도 서귀포시,9
F100028586,인천광역시 남동구,8
F100047506,전라남도 강진군,8
F100049831,전라남도 강진군,6
F100050169,경상북도 구미시,5
F100020807,서울특별시 구로구,33
F100050953,경상북도 안동시,23
F100025279,부산광역시 영도구,5
F100005764,보건복지부 국립나주병원,5
F100005766,보건복지부 국립나주병원,8
F100033669,대전광역시,5
F100037422,경기도 오산시,29
F100036890,경기도 오산시,14
F100001101,해양수산부 부산지방해양수산청,4
F100044281,충청남도 보령시,17
F100031353,광주광역시 북구,27
F100027329,대구광역시 서구,7
F100027330,대구광역시 서구,7
F100061600,농림수산식품교육문화정보원,13
F100008286,한국산업기술평가관리원,6
F100046342,전라북도 정읍시,26
F100036485,경기도 시흥시,27
F100005918,문화체육관광부 한국정책방송원,18
F100005938,문화체육관광부 한국정책방송원,18
F100005925,문화체육관광부 한국정책방송원,18
F100005943,문화체육관광부 한국정책방송원,12
F100005950,문화체육관광부 한국정책방송원,12
F100048744,전라남도 담양군,20
F100048517,전라남도 담양군,14
F100047472,전라남도 여수시,6
F100026384,대구광역시 동구,31
F100024878,부산광역시 서구,3
F100037468,경기도 구리시,10
F100061584,농림수산식품교육문화정보원,5
F100061581,농림수산식품교육문화정보원,5
F100025016,부산광역시 연제구,5
F100066068,공공데이터활용지원센터,10
F100023693,부산광역시 수영구,27
F100026779,대구광역시 동구,14
F100026776,대구광역시 동구,6
F100024209,부산광역시 강서구,24
F100023470,부산광역시 수영구,17
F100024183,부산광역시 강서구,27
F100020442,서울특별시 동대문구,27
F100037260,경기도 평택시,32
F100034713,경기도 동두천시,14
F100025653,부산광역시,13
F100027482,인천광역시,8
F100027490,인천광역시,10
F100050166,경상북도 구미시,9
F100048476,전라남도 광양시,19
F100024267,부산광역시 사상구,5
F100051477,경상북도 안동시,17
F100037951,경기도 김포시,7
F100037945,경기도 김포시,7
F100037962,경기도 김포시,5
F100037899,경기도 김포시,4
F100042038,충청북도 음성군,20
F100042270,충청북도 음성군,18
F100037952,경기도 김포시,6
F100037944,경기도 김포시,7
F100021203,서울특별시 구로구,21
F100050015,전라남도 순천시,4
F100007555,산업통상자원부,11
F100059217,서울주택도시공사,3
F100030805,인천광역시 미추홀구,5
F100003515,경찰청 충청북도경찰청,15
F100017296,한국부동산원,16
F100017294,한국부동산원,16
F100017199,한국부동산원,187
F100017298,한국부동산원,16
F100011913,한국환경공단,22
F100053907,경상남도 김해시,13
F100025703,부산광역시 사하구,6
F100053960,경상남도 김해시,7
F100011959,환경부 국가미세먼지정보센터,16
F100024027,부산광역시 남구,3
F100043897,충청남도 서산시,20
F100045801,전라북도 군산시,25
F100037713,경기도 과천시,21
F100038980,경기도 수원시,11
F100041091,강원도 춘천시,3
F100066771,한국농어촌공사,9
F100030814,인천광역시 미추홀구,7
F100066770,대외경제정책연구원,6
F100026392,대구광역시,16
F100025705,부산광역시 사상구,3
F100043189,충청남도 청양군,7
F100055244,경상남도 하동군,6
F100017150,한국부동산원,31
F100002753,대검찰청,15
F100014403,주택도시보증공사,4
F100055007,경상남도 양산시,12
F100053865,경상남도 거제시,10
F100003019,병무청,6
F100033793,대전광역시 서구,5
F100013017,해양경찰청,9
F100002783,대검찰청,13
F100038288,경기도 평택시,6
F100002785,대검찰청,8
F100012740,한국산업인력공단,11
F100012742,한국산업인력공단,16
F100011353,한국산업단지공단,14
F100010765,한국산업단지공단,19
F100003291,경찰청 서울특별시경찰청,4
F100001122,해양수산부 국립해양조사원,
F100025915,대구광역시 남구,6
F100045753,전라북도 장수군,25
F100010699,한국산업단지공단,19
F100045959,전라북도 장수군,24
F100019226,한국한의학연구원,6
F100046866,전라북도,9
F100026435,대구광역시 남구,25
F100026993,대구광역시 서구,5
F100046922,전라북도,13
F100003279,경찰청 서울특별시경찰청,3
F100045314,전라북도,4
F100028434,인천광역시 서구,12
F100053905,경상남도 김해시,12
F100028787,인천광역시 서구,5
F100018492,한국생명공학연구원,6
F100009804,한국가스공사,7
F100026133,대구광역시 달서구,16
F100040212,강원도 횡성군,12
F100040867,강원도 횡성군,7
F100039502,강원도 횡성군,7
F100009078,한국가스공사,8
F100009077,한국가스공사,8
F100022996,부산광역시 해운대구,13
F100060389,한국창업보육협회,10
F100063597,한국창업보육협회,6
F100054930,경상남도 양산시,13
F100010938,한국산업단지공단,8
F100010912,한국산업단지공단,19
F100020000,서울특별시 금천구,6
F100010899,한국산업단지공단,19
F100056276,제주특별자치도 제주시,5
F100056272,제주특별자치도 제주시,5
F100009845,한국가스공사,2
F100008718,한국가스공사,10
F100008720,한국가스공사,7
F100009853,한국가스공사,6
F100009838,한국가스공사,9
F100008767,한국가스공사,7
F100008692,한국가스공사,18
F100008751,한국가스공사,3
F100030824,인천광역시 미추홀구,5
F100032496,광주광역시 북구,10
F100032497,광주광역시 북구,8
F100063237,대전광역시도시철도공사,16
F100045752,전라북도 임실군,25
F100021021,서울특별시 금천구,18
F100038370,경기도 오산시,15
F100011036,한국산업단지공단,8
F100056473,제주특별자치도,9
F100011004,한국산업단지공단,10
F100010991,한국산업단지공단,18
F100010978,한국산업단지공단,19
F100010952,한국산업단지공단,19
F100010939,한국산업단지공단,8
F100055235,경상남도 하동군,8
F100047577,전라남도 순천시,5
F100013408,농림축산식품부 국립종자원,8
F100002708,대검찰청,10
F100002709,대검찰청,20
F100037286,경기도 부천시,30
F100040241,강원도 태백시,11
F100002710,대검찰청,6
F100054938,경상남도 양산시,9
F100019215,한국연구재단,7
F100055009,경상남도 양산시,6
F100033666,대전광역시,4
F100045905,전라북도 전주시,5
F100017251,한국부동산원,16
F100029835,인천광역시 서구,20
F100002797,대검찰청,13
F100035397,경기도 양주시,10
F100002799,대검찰청,20
F100002801,대검찰청,20
F100002803,대검찰청,20
F100035725,경기도 양주시,8
F100002805,대검찰청,20
F100011364,한국산업단지공단,14
F100016394,한국부동산원,73
F100016202,한국부동산원,74
F100034654,울산시설공단,8
F100026450,대구광역시 동구,27
F100038166,경기도 이천시,6
F100026395,대구광역시 동구,16
F100039470,경기도 고양시,2
F100008686,한국가스공사,6
F100008697,한국가스공사,23
F100029598,인천광역시,14
F100019170,한국기계연구원,14
F100020650,서울특별시 마포구,13
F100021235,서울특별시 마포구,13
F100020532,서울특별시 마포구,11
F100003418,경찰청 충청남도경찰청,7
F100035752,경기도 양주시,7
F100035751,경기도 양주시,16
F100028627,인천광역시 중구,8
F100055258,경상남도 하동군,11
F100004240,경찰청 경기도북부경찰청,16
F100032131,광주광역시 광산구,16
F100011906,한국환경공단,24
F100010913,한국산업단지공단,19
F100010900,한국산업단지공단,19
F100010887,한국산업단지공단,19
F100035324,경기도 양주시,14
F100035768,경기도 양주시,13
F100017326,한국부동산원,187
F100017327,한국부동산원,187
F100038931,경기도 양주시,12
F100030403,인천광역시 중구,7
F100002775,대검찰청,9
F100054248,경상남도 김해시,16
F100002777,대검찰청,9
F100002779,대검찰청,30
F100002781,대검찰청,12
F100023792,부산광역시 부산진구,11
F100011321,한국산업단지공단,13
F100055249,경상남도 창원시,8
F100002733,대검찰청,8
F100061407,서울시설공단,11
F100055013,경상남도 양산시,28
F100009433,한국남동발전㈜,14
F100016739,한국도로공사,17
F100063141,한국언론진흥재단,7
F100062277,한국언론진흥재단,11
F100017282,한국부동산원,187
F100062278,한국언론진흥재단,16
F100055029,경상남도 양산시,7
F100010855,한국남동발전㈜,27
F100056448,제주특별자치도 제주시,7
F100032929,대전광역시 유성구,9
F100044263,충청남도 예산군,4
F100051391,경상북도 의성군,6
F100050344,경상북도 의성군,24
F100016454,한국부동산원,187
F100016449,한국부동산원,187
F100016206,한국부동산원,75
F100016192,한국부동산원,214
F100055269,경상남도 하동군,6
F100004254,경찰청 광주광역시경찰청,9
F100016369,한국부동산원,127
F100016375,한국부동산원,127
F100011403,한국에너지공단,6
F100036861,경기도 부천시,20
F100009477,한국수력원자력(주),8
F100053075,경상남도 진주시,25
F100054975,경상남도 양산시,6
F100013012,해양경찰청,4
F100054977,경상남도 양산시,11
F100054979,경상남도 양산시,9
F100041088,강원도 삼척시,5
F100050678,경상북도 예천군,27
F100054952,경상남도 양산시,10
F100030816,인천광역시 연수구,4
F100054958,경상남도 양산시,22
F100054954,경상남도 양산시,11
F100023685,부산광역시 연제구,27
F100006292,산림청 국립산림품종관리센터,5
F100054610,경상남도 거제시,8
F100003414,경찰청 충청남도경찰청,21
F100038146,경기도 이천시,11
F100016196,한국부동산원,74
F100017314,한국부동산원,187
F100017317,한국부동산원,187
F100017319,한국부동산원,187
F100025946,대구광역시 남구,4
F100025948,대구광역시 남구,4
F100032164,광주광역시 광산구,29
F100032163,광주광역시 광산구,14
F100017152,한국부동산원,16
F100031385,광주광역시 광산구,11
F100053236,경상남도 양산시,15
F100036063,경기도 의정부시,14
F100006224,여성가족부,7
F100019209,(재)연구개발특구진흥재단,7
F100056517,제주특별자치도 제주시,5
F100026762,대구광역시,15
F100055471,제주특별자치도 제주시,10
F100056252,제주특별자치도 제주시,6
F100019552,인사혁신처,3
F100056957,제주특별자치도 제주시,7
F100000186,국가보훈처,4
