기관명,전체데이터,오류데이터
부경대학교(D651),299,299
부산광역시교육청(D652),8536,809
부산광역시교육청 부산광역시남부교육지원청(D653),171,0
부산광역시교육청 부산광역시동래교육지원청(D654),164,3
부산광역시교육청 부산광역시립반송도서관(D655),130,0
부산광역시교육청 부산광역시립부전도서관(D656),143,0
부산광역시교육청 부산광역시미래교육원(D657),2396,1198
부산광역시교육청 부산광역시북부교육지원청(D658),388,0
부산광역시교육청 부산광역시서부교육지원청(D659),153,0
부산광역시교육청 부산광역시어린이창의교육관(D660),180,0
부산광역시교육청 부산광역시학생교육문화회관(D661),144,0
부산광역시교육청 부산광역시학생예술문화회관(D662),114,0
부산광역시교육청 부산광역시해운대교육지원청(D663),738,29
산림청 국립산림과학원(D664),14276669,429912
산림청 국립산림품종관리센터(D665),38661,443
산림청 국립수목원(D666),216,24
산림청 국립자연휴양림관리소(D667),188796,175361
산림청 산림교육원(D668),3080,810
산림청 산림항공본부(D669),1161,12
산업통상자원부 국가기술표준원(D670),2909698,2492418
서울특별시교육청(D671),1931,1
서울특별시교육청 서울특별시강남서초교육지원청(D672),7130,31
서울특별시교육청 서울특별시강동송파교육지원청(D673),309,80
서울특별시교육청 서울특별시강서양천교육지원청(D674),734,4
서울특별시교육청 서울특별시교육청송파도서관(D675),16,0
서울특별시교육청 서울특별시남부교육지원청(D676),538,4
서울특별시교육청 서울특별시동부교육지원청(D677),155,3
서울특별시교육청 서울특별시동작관악교육지원청(D678),1973,223
서울특별시교육청 서울특별시북부교육지원청(D679),529,2
서울특별시교육청 서울특별시서부교육지원청(D680),280,0
서울특별시교육청 서울특별시성동광진교육지원청(D681),1352,3
서울특별시교육청 서울특별시성북강북교육지원청(D682),354,232
서울특별시교육청 서울특별시중부교육지원청(D683),807,1
서울특별시은평구시설관리공단(D684),490,15
선박안전기술공단(D685),1448252,0
세종특별자치시교육청(D686),74587,0
세종특별자치시교육청 세종특별자치시평생교육학습관(D687),16,0
안산도시공사(D688),6924,592
안양시시설관리공단(D689),266,0
울산광역시교육청(D690),735,6
울산광역시북구시설관리공단(D691),207,0
의왕도시공사(D693),206,0
인천광역시 보건환경연구원(D694),6866,313
인천광역시교육청(D695),58,0
인천광역시교육청 인천광역시강화교육지원청(D696),409,199
인천광역시교육청 인천광역시교육청부평도서관(D698),159,0
인천광역시교육청 인천광역시교육청서구도서관(D699),146,0
인천광역시교육청 인천광역시교육청연수도서관(D700),367,0
인천광역시교육청 인천광역시교육청주안도서관(D701),159,0
인천광역시교육청 인천광역시교육청중앙도서관(D702),211,0
인천광역시교육청 인천광역시교육청평생학습관(D703),614,0
인천광역시교육청 인천광역시남부교육지원청(D704),27,0
인천광역시교육청 인천광역시동부교육지원청(D705),11949,255
인천광역시교육청 인천광역시북구도서관(D706),601,0
인천광역시교육청 인천광역시북부교육지원청(D707),48,25
인천광역시교육청 인천광역시학생교육문화회관(D709),112,0
인천광역시교육청 인천광역시화도진도서관(D710),16,0
인천광역시연수구시설안전관리공단(D711),417,49
재단법인경기아트센터(D712),8400,3
전남대학교(D713),36,0
전라남도교육청(D714),5298,0
전라남도교육청 나주공공도서관(D715),9,0
전라남도교육청 목포공공도서관(D716),18,0
전라남도교육청 장성공공도서관(D717),3,0
전라북도교육청(D718),246803,54457
전라북도교육청 전라북도전주교육지원청(D719),1168,8
제주특별자치도교육청(D720),199737,1122
중랑구시설관리공단(D721),2684,458
질병관리청 국립마산병원(D722),6376,4324
질병관리청 국립목포병원(D723),6966,1328
충북대학교(D724),0,0
충청남도교육청(D725),28609,7760
충청남도교육청 충청남도공주교육지원청(D726),459,14
충청남도교육청 충청남도논산계룡교육지원청(D727),599,64
충청남도교육청 충청남도아산교육지원청(D728),552,0
충청남도교육청 충청남도청양교육지원청(D729),510,96
충청북도교육청(D730),13,0
충청북도교육청 충청북도괴산증평교육지원청(D731),434,3
충청북도교육청 충청북도교육도서관(D732),718,0
충청북도교육청 충청북도교육문화원(D733),16,0
충청북도교육청 충청북도영동교육지원청(D734),372,0
충청북도교육청 충청북도옥천교육지원청(D735),82,0
충청북도교육청 충청북도제천교육지원청(D736),29,0
충청북도교육청 충청북도진천교육지원청(D737),253,0
포천시시설관리공단(D738),6215,505
한국교원대학교(D740),225896,0
한국식품연구원부설세계김치연구소(D741),229,0
한국자활복지개발원(D742),36,6
한국창업보육협회(D743),524,34
해양수산부 국립해양조사원(D744),752200,5243
해양수산부 부산지방해양수산청(D745),2600,650
해양수산부 중앙해양안전심판원(D746),203300,27572
행정안전부 국가기록원(D747),196006,11760
행정안전부 국가민방위재난안전교육원(D748),2394,500
행정안전부 국립과학수사연구원(D749),2336,1687
행정안전부 정부청사관리본부(D750),54,0
행정안전부 지방공기업평가원(D751),3260,358
행정안전부 지방자치인재개발원(D752),1322,231
행정안전부 한국지역정보개발원(D753),0,0
행정안전부 한국지역진흥재단(D754),1446,0
환경부 국가미세먼지정보센터(D755),638525,0
환경부 국립생물자원관(D756),240712,0
환경부 국립환경과학원(D757),408954,41626
환경부 국립환경인재개발원(D758),514351,10866
환경부 금강유역환경청(D759),296027,1039
환경부 낙동강유역환경청(D760),151118,30
환경부 영산강유역환경청(D761),148701,3
환경부 온실가스종합정보센터(D762),17031,0
환경부 한강유역환경청(D763),32625,14
환경부 화학물질안전원(D764),3661,857
농촌진흥청 국립축산과학원(D765),232002,39202
대통령기록관(D766),7626,0
부산광역시교육청 부산광역시립연산도서관(D767),182,0
인천광역시교육청 인천광역시교육청계양도서관(D768),431,0
경기도농수산진흥원(D769),20,7
