id,name
F100004681,국립춘천병원_입원 환자수 현황_201901~201912.csv
F100004682,2020년 상반기 입원 재원자수 현황.csv
F100004683,보건복지부 국립춘천병원_2020년 하반기 입원 재원자수 현황.csv
F100004684,보건복지부 국립춘천병원_2021년 상반기 입원 재원자수 현황.csv
F100004637,"보건복지부 국립춘천병원_2016년 4분기 외래, 입원 수입금 현황.CSV"
F100004638,"보건복지부 국립춘천병원_2016년 2분기 외래, 입원 수입금 현황.CSV"
F100004639,"국립춘천병원_외래, 입원 수입금 현황_201901~201909.csv"
F100004641,"2020년 1분기 외래, 입원 수입금 현황.csv"
F100004642,"2020년 2분기 외래, 입원 수입금 현황.csv"
F100004643,"2020년 3분기 외래, 입원 수입금 현황.csv"
F100004644,"보건복지부 국립춘천병원_2020년 4분기 외래, 입원 수입금 현황.csv"
F100004646,"보건복지부 국립춘천병원_2021년 1분기 외래, 입원 수입금 현황.csv"
F100004647,보건복지부 국립춘천병원_2014년 10월 외래 환자수 현황.csv
F100004648,보건복지부 국립춘천병원_2014년 11월 외래 환자수 현황.csv
F100004649,보건복지부 국립춘천병원_2015년 하반기 외래 환자수 현황.csv
F100004650,보건복지부 국립춘천병원_2015년 상반기 외래 환자수 현황.csv
F100004651,보건복지부 국립춘천병원_2014년 하반기 외래 환자수 현황.csv
F100004652,2016년 외래환자 현황(상반기).csv
F100004653,2016년 외래환자 현황(하반기).csv
F100004654,2017년 외래환자 현황(상반기).csv
F100004655,2017년 외래환자 현황(하반기).csv
F100004656,2018년 1월~6월 외래환자 현황(상반기).csv
F100004657,2018년 1월~12월 외래환자 현황(하반기).csv
F100004658,2019년 1월~6월 외래환자 현황.csv
F100004659,국립춘천병원_외래 환자 현황_201901~201912.csv
F100004660,2020년 상반기 외래 환자수 현황.csv
F100004662,보건복지부 국립춘천병원_2021년 상반기 외래 환자수 현황.csv
F100004663,보건복지부 국립춘천병원_2014년 10월 입원 재원자수 현황.csv
F100004664,보건복지부 국립춘천병원_2014년 상반기 입원 재원자수 현황.csv
F100004665,보건복지부 국립춘천병원_2014년 11월 입원 재원자수 현황.csv
F100004666,보건복지부 국립춘천병원_2015년 상반기 입원 재원자수 현황.csv
F100004667,보건복지부 국립춘천병원_2014년 9월 입원 재원자수 현황.csv
F100004668,보건복지부 국립춘천병원_2014년 7월 입원 재원자수 현황.csv
F100004670,보건복지부 국립춘천병원_2014년 하반기 입원 재원자수 현황.csv
F100004671,2016년 입원환자 현황(상반기).csv
F100004672,2016년 입원환자 현황(하반기).csv
F100004673,2017년 입원환자 현황(상반기).csv
F100003553,분야별 집회시위 개최현황.csv
F100003554,집회 신고 및 미신고 개최 현황.csv
F100003770,대구광역시경찰청 관서별경비업체 현황.csv
F100003771,광주지방경찰청_광주광역시_시간제노상주차허용현황_20200917.csv
F100003776,경찰청 대구광역시지방경찰청_경찰관서별 112신고 현황.csv
F100004201,경찰청_인천광역시지방경찰청_관서별 재산범죄 발생건수_2017.csv
F100004202,경찰청_인천광역시지방경찰청_관서별 재산범죄 발생건수_2018.csv
F100004203,경찰청_인천광역시지방경찰청_관서별 재산범죄 발생건수_2010.csv
F100004204,경찰청 인천광역시경찰청_관서별 재산범죄 발생건수_20201231.csv
F100004205,대전광역시지방경찰청_연도 및 자치구별 5대범죄 발생 현황(2018년도).csv
F100004206,대전광역시지방경찰청_연도 및 자치구별 5대범죄 발생 현황(2015년도).csv
F100004207,대전광역시지방경찰청_연도 및 자치구별 5대범죄 발생 현황(2016년도).csv
F100004209,대전광역시지방경찰청_대전지역 시간대별 범죄 발생 현황.csv
F100004210,대전광역시지방경찰청_대전지역 요일별 범죄 발생현황.csv
F100004212,경찰청_대전광역시지방경찰청_대전지역 주정차 허용현황_공휴일도심주차_20190905.csv
F100004213,경찰청_대전광역시지방경찰청_대전지역 주정차 허용현황_재래시장_20190905.csv
F100004214,경찰청_대전광역시지방경찰청_대전지역 주정차 허용현황_탄력적주정차_20190905.csv
F100004215,경찰청_대전광역시지방경찰청_대전지역 주정차 허용현황_택배소형화물차량_20190905.csv
F100003559,광주지방경찰청_광주광역시_112신고접수현황(2016)_20180430.csv
F100003561,광주지방경찰청_광주광역시_112신고접수현황(2018)_20181231.csv
F100003562,광주지방경찰청_광주광역시_112신고접수현황(2019)_20191231.csv
F100003563,광주지방경찰청_광주광역시_112신고접수현황(2015)_20180430.csv
F100003564,광주지방경찰청_광주광역시_주요교통법규위반현황(2016)_20180430.csv
F100003565,광주지방경찰청_광주광역시_주요교통법규위반현황(2017)_20171231.csv
F100003566,광주지방경찰청_광주광역시_주요교통법규위반현황(2018)_20181231.csv
F100003567,광주지방경찰청_광주광역시_주요교통법규위반현황(2019)_20191231.csv
F100003569,광주지방경찰청_광주광역시_주요교통법규위반현황(2015)_20180430.csv
F100003784,경찰청 대구광역시경찰청 집회시위 개최 및 신고 현황.csv
F100004220,실종아동등 및 가출인 통계.csv
F100004222,전라남도 경찰청_5대범죄 발생 및 검거현황.csv
F100004225,경찰청 부산광역시경찰청_실종아동 등 가출인 접수 현황.csv
F100004228,경찰청_경상남도경찰청_년도별 운전면허 소지현황_2020.csv
F100004229,경찰청 대구광역시경찰청_지역경찰관서현황.csv
F100004230,대구광역시경찰청 관서별경비원 현황.csv
F100003803,경찰청_제주특별자치도지방경찰청_총포소지허가현황_20190923.csv
F100003804,경찰청_제주특별자치도지방경찰청_불법무기자진신고현황_20190923.csv
F100003808,경찰청 부산광역시경찰청_경찰서별 112 신고 건수.csv
F100003809,경찰청 부산광역시지방경찰청_부산광역시 경찰서별 112 신고 건수.csv
F100004237,경찰청_경기도북부경찰청_남양주시_사이버 성폭력 범죄 현황.csv
F100004240,사이버 범죄 현황.csv
F100004241,성매매 단속 현황.csv
F100004242,5대 범죄 발생 및 검거 현황.csv
F100004243,경찰서별 5대 범죄 발생 현황.csv
F100004244,5대 범죄 112신고 현황.csv
F100004246,운전면허 행정처분 현황.csv
F100004247,교통법규위반 단속 현황.csv
F100004248,월별 음주운전 단속 현황.csv
F100004249,월별 무면허운전 단속 현황.csv
F100004250,월별_신호위반 단속 현황.csv
F100004251,월별 중앙선침범 단속 현황.csv
F100004252,월별 안전띠미착용 단속 현황.csv
F100004253,경찰청 충청북도경찰청_실종 아동 등 가출인 접수 현황_20201231.csv
F100004254,광주광역시 자치구별 5대 범죄 현황(2020) .csv
F100003604,가정폭력범죄 피해자 연령대별 현황.csv
F100003605,가정폭력범죄 피해자 성별 현황.csv
F100003606,가정폭력범죄 검거 현황.csv
F100003607,성범죄 피해자 연령대별 현황.csv
